Degree_Module_ID,Degree_ID,Course_Code,Module_Type
DM001,D001,CS11012,Core
DM002,D001,CS11021,Core
DM003,D001,CS11032,Core
DM004,D001,COE11013,Core
DM005,D001,CS11042,Core
DM006,D001,SE11012,Core
DM007,D001,CM11033,Core
DM008,D001,CM11102,Core
DM009,D001,DL1132,Core
DM010,D001,LS1052,Core
DM011,D002,CS11012,Core
DM012,D002,CS11021,Core
DM013,D002,CS11032,Core
DM014,D002,COE11013,Core
DM015,D002,CS11042,Core
DM016,D002,SE11012,Core
DM017,D002,CM11033,Core
DM018,D002,CM11102,Core
DM019,D002,DL1132,Core
DM020,D002,LS1052,Core
DM021,D003,CS11012,Core
DM022,D003,CS11021,Core
DM023,D003,CS11032,Core
DM024,D003,COE11013,Core
DM025,D003,CS11042,Core
DM026,D003,SE11012,Core
DM027,D003,CM11033,Core
DM028,D003,CM11102,Core
DM029,D003,DL1132,Core
DM030,D003,LS1052,Core
DM031,D004,CS11012,Core
DM032,D004,CS11021,Core
DM033,D004,CS11042,Core
DM034,D001,CS12012,Core
DM035,D001,CS12023,Core
DM036,D001,CS12033,Core
DM037,D001,CS12041,Core
DM038,D001,SE12012,Core
DM039,D001,CM12052,Core
DM040,D001,COE12241,Core
DM041,D001,COE12992,Core
DM042,D001,DL2142,Core
DM043,D002,CS12012,Core
DM044,D002,CS12023,Core
DM045,D002,CS12033,Core
DM046,D002,CS12041,Core
DM047,D002,SE12012,Core
DM048,D002,CM12052,Core
DM049,D002,COE12241,Core
DM050,D002,COE12992,Core
DM051,D002,DL2142,Core
DM052,D003,CS12012,Core
DM053,D003,CS12023,Core
DM054,D003,CS12033,Core
DM055,D003,CS12041,Core
DM056,D003,CM12052,Core
DM057,D003,COE12241,Core
DM058,D003,COE12992,Core
DM059,D003,DL2142,Core
DM060,D001,CS21012,Core
DM061,D001,CS21022,Core
DM062,D001,CS21032,Core
DM063,D001,CS21042,Core
DM064,D001,CS21052,Core
DM065,D001,SE21012,Core
DM066,D001,CM21032,Core
DM067,D001,CM21102,Core
DM068,D001,MF2112,Core
DM069,D001,DL3152,Core
DM070,D002,CS21012,Core
DM071,D002,CS21022,Core
DM072,D002,CS21032,Core
DM073,D002,CS21042,Core
DM074,D002,CS21052,Core
DM075,D002,SE21012,Core
DM076,D002,CM21032,Core
DM077,D002,CM21102,Core
DM078,D002,MF2112,Core
DM079,D002,DL3152,Core
DM080,D003,CS21012,Core
DM081,D003,CS21022,Core
DM082,D003,CS21032,Core
DM083,D003,SE21012,Core
DM084,D003,CM21032,Core
DM085,D003,CM21102,Core
DM086,D003,MF2112,Core
DM087,D003,DL3152,Core
DM088,D001,CS22012,Core
DM089,D001,CS22023,Core
DM090,D001,CS22993,Core
DM091,D001,COE11013,Core
DM092,D001,SE22013,Core
DM093,D001,SE22022,Core
DM094,D001,COE22032,Core
DM095,D001,CM22112,Core
DM096,D001,DL4162,Core
DM097,D002,CS22012,Core
DM098,D002,CS22023,Core
DM099,D002,CS22993,Core
DM100,D002,COE11013,Core
DM101,D002,SE22013,Core
DM102,D002,SE22022,Core
DM103,D002,COE22032,Core
DM104,D002,CM22112,Core
DM105,D002,DL4162,Core
DM106,D003,CS22012,Core
DM107,D003,CS22023,Core
DM108,D003,CS22993,Core
DM109,D003,COE11013,Core
DM110,D003,COE22032,Core
DM111,D003,CM22112,Core
DM112,D003,DL4162,Core
DM113,D003,COE12012,Core
DM114,D003,COE12022,Core
DM115,D003,COE21013,Core
DM116,D003,COE22012,Core
DM117,D003,COE22023,Core
DM118,D004,DS11011,Core
DM119,D004,DS11023,Core
DM120,D004,DS11032,Core
DM121,D004,MF1122,Core
DM122,D004,LC1133,Core
DM123,D004,DS12013,Core
DM124,D004,DS12022,Core
DM125,D004,DS12033,Core
DM126,D004,CS12052,Core
DM127,D004,DS12042,Core
DM128,D004,MF1212,Core
DM129,D004,LC1243,Core
DM130,D004,DS21012,Core
DM131,D004,DS21022,Core
DM132,D004,DS21033,Core
DM133,D004,CS21063,Core
DM134,D004,DS21042,Core
DM135,D004,MF2123,Core
DM136,D004,LC2353,Core
DM137,D004,DS22012,Core
DM138,D004,CS22032,Core
DM139,D004,DS22023,Core
DM140,D004,MF2222,Core
DM141,D004,DS22032,Core
DM142,D004,LC2463,Core
DM143,D001,CS31022,Core
DM144,D001,CS31032,Core
DM145,D001,CS31042,Core
DM146,D001,CS31062,Core
DM147,D001,CS31012,Core
DM148,D001,CS31072,Core
DM149,D001,SE31012,Core
DM150,D001,SE31022,Core
DM151,D001,CS31092,Elective
DM152,D001,CS31102,Elective
DM153,D001,CS31112,Elective
DM154,D001,CS31122,Elective
DM155,D001,CS31132,Elective
DM156,D002,CS31082,Core
DM157,D002,CS31092,Core
DM158,D002,CS31102,Core
DM159,D002,CS31112,Elective
DM160,D002,CS31122,Elective
DM161,D002,CS31132,Elective
DM162,D002,CS31022,Core
DM163,D002,CS31032,Core
DM164,D002,CS31042,Core
DM165,D002,CS31062,Core
DM166,D002,CS31012,Core
DM167,D002,COE31052,Elective
DM168,D002,CS31072,Core
DM169,D003,COE31012,Core
DM170,D003,COE31021,Core
DM171,D003,COE31032,Core
DM172,D003,COE31052,Elective
DM173,D003,COE31062,Core
DM174,D003,COE31072,Core
DM175,D003,CS31042,Core
DM176,D003,CS31012,Core
DM177,D003,CS31062,Elective
DM178,D003,CS31122,Elective
DM179,D003,CS31092,Elective
DM180,D003,CS31102,Elective
DM181,D003,CS31112,Elective
DM182,D003,CS31132,Elective
DM183,D001,CS32042,Core
DM184,D001,CS32092,Core
DM185,D001,SE32992,Core
DM186,D001,SE32012,Core
DM187,D001,SE32022,Core
DM188,D001,CM32051,Core
DM189,D001,CS32012,Elective
DM190,D001,CS32022,Elective
DM191,D001,CS32032,Elective
DM192,D001,CS32082,Elective
DM193,D001,CS32102,Elective
DM194,D001,CS32112,Elective
DM195,D001,IT32262,Elective
DM196,D002,CS32012,Core
DM197,D002,CS32022,Core
DM198,D002,CS32032,Core
DM199,D002,CS32042,Core
DM200,D002,CS32082,Core
DM201,D002,CS32092,Core
DM202,D002,CS32992,Core
DM203,D002,CM32013,Core
DM204,D002,CM32051,Core
DM205,D002,CS32062,Elective
DM206,D002,CS32102,Elective
DM207,D002,CS32112,Elective
DM208,D002,IT32262,Elective
DM209,D003,COE32012,Core
DM210,D003,COE32022,Core
DM211,D003,COE32992 ,Core
DM212,D003,COE32032,Core
DM213,D003,CS32042 ,Core
DM214,D003,CM32051,Core
DM215,D003,COE32042,Elective
DM216,D003,COE32052,Elective
DM217,D003,CS32032,Elective
DM218,D003,CS32082,Elective
