Student_ID,Degree_ID,Intake,Gender,Current_Year,Current_Semester,Previous_SGPA,Current_SGPA,Repeated_Courses,Next_SGPA
S0026,D004,40,Male,1,2,3.5846,3.5118,0,3.4133
S0026,D004,40,Male,2,3,3.5118,3.4133,0,3.3091
S0026,D004,40,Male,2,4,3.4133,3.3091,0,3.4
S0027,D002,40,Female,1,2,3.4353,3.4688,0,3.425
S0027,D002,40,Female,2,3,3.4688,3.425,0,3.4353
S0027,D002,40,Female,2,4,3.425,3.4353,0,3.425
S0027,D002,40,Female,3,5,3.4353,3.425,0,3.45
S0028,D005,40,Male,1,2,3.6471,3.0312,0,3.5053
S0028,D005,40,Male,2,3,3.0312,3.5053,0,3.225
S0028,D005,40,Male,2,4,3.5053,3.225,0,3.0357
S0028,D005,40,Male,3,5,3.225,3.0357,0,3.3
S0030,D004,39,Female,1,2,3.4615,3.4,0,3.32
S0030,D004,39,Female,2,3,3.4,3.32,0,3.7455
S0030,D004,39,Female,2,4,3.32,3.7455,0,3.6316
S0030,D004,39,Female,3,5,3.7455,3.6316,0,3.1048
S0030,D004,39,Female,3,6,3.6316,3.1048,0,3.1231
S0030,D004,39,Female,4,7,3.1048,3.1231,0,2.7
S0031,D001,41,Female,1,2,2.7824,3.1812,0,3.275
S0032,D005,40,Male,1,2,3.3588,3.2188,0,4.0
S0032,D005,40,Male,2,3,3.2188,4.0,0,3.4438
S0032,D005,40,Male,2,4,4.0,3.4438,0,3.2429
S0032,D005,40,Male,3,5,3.4438,3.2429,0,4.0
S0033,D003,41,Male,1,2,3.8647,3.9222,0,4.0
S0033,D003,41,Male,2,3,3.9222,4.0,0,4.0
S0034,D005,41,Female,1,2,3.3353,3.8125,0,3.0368
S0035,D004,40,Male,1,2,3.0923,3.3118,0,3.3333
S0035,D004,40,Male,2,3,3.3118,3.3333,0,3.5091
S0035,D004,40,Male,2,4,3.3333,3.5091,0,3.7579
S0036,D001,41,Female,1,2,2.8824,3.3312,0,3.125
S0036,D001,41,Female,2,3,3.3312,3.125,0,2.9824
S0038,D001,41,Male,1,2,3.9647,3.9125,0,4.0
S0040,D004,39,Male,1,2,3.3385,3.4941,0,3.6933
S0040,D004,39,Male,2,3,3.4941,3.6933,0,3.6818
S0040,D004,39,Male,2,4,3.6933,3.6818,0,3.3211
S0040,D004,39,Male,3,5,3.6818,3.3211,0,3.7714
S0040,D004,39,Male,3,6,3.3211,3.7714,0,3.4692
S0040,D004,39,Male,4,7,3.7714,3.4692,0,3.7
S0042,D002,40,Male,1,2,1.7882,2.8625,2,2.6625
S0042,D002,40,Male,2,3,2.8625,2.6625,4,1.7647
S0042,D002,40,Male,2,4,2.6625,1.7647,7,2.3583
S0042,D002,40,Male,3,5,1.7647,2.3583,10,2.1385
S0044,D005,40,Male,1,2,3.8235,4.0,0,3.9526
S0044,D005,40,Male,2,3,4.0,3.9526,0,3.9062
S0044,D005,40,Male,2,4,3.9526,3.9062,0,3.9571
S0045,D002,40,Female,1,2,3.1353,3.0062,0,3.3375
S0045,D002,40,Female,2,3,3.0062,3.3375,0,3.5235
S0045,D002,40,Female,2,4,3.3375,3.5235,0,3.05
S0046,D001,41,Female,1,2,2.6176,2.2562,1,2.8375
S0048,D005,41,Female,1,2,3.7176,3.875,0,3.9263
S0048,D005,41,Female,2,3,3.875,3.9263,0,2.9688
S0049,D005,40,Male,1,2,3.5,3.175,0,3.4211
S0049,D005,40,Male,2,3,3.175,3.4211,0,3.7562
S0049,D005,40,Male,2,4,3.4211,3.7562,0,3.5357
S0051,D002,41,Male,1,2,3.1529,3.1688,0,2.75
S0053,D001,41,Male,1,2,3.2471,2.925,0,2.8375
S0054,D004,40,Male,1,2,3.8462,3.3235,0,3.0
S0054,D004,40,Male,2,3,3.3235,3.0,0,3.1364
S0054,D004,40,Male,2,4,3.0,3.1364,0,3.3105
S0054,D004,40,Male,3,5,3.1364,3.3105,0,3.6381
S0055,D005,41,Male,1,2,4.0,4.0,0,3.7211
S0056,D004,39,Male,1,2,3.0385,3.6353,0,3.06
S0056,D004,39,Male,2,3,3.6353,3.06,0,3.2818
S0056,D004,39,Male,2,4,3.06,3.2818,0,3.4895
S0056,D004,39,Male,3,5,3.2818,3.4895,0,3.4857
S0056,D004,39,Male,3,6,3.4895,3.4857,0,2.8385
S0057,D002,40,Female,1,2,3.5588,3.5,0,3.875
S0057,D002,40,Female,2,3,3.5,3.875,0,3.7765
S0057,D002,40,Female,2,4,3.875,3.7765,0,3.75
S0059,D003,41,Male,1,2,3.7412,4.0,0,3.7733
S0059,D003,41,Male,2,3,4.0,3.7733,0,3.7118
S0061,D005,40,Male,1,2,4.0,3.6562,0,3.9526
S0061,D005,40,Male,2,3,3.6562,3.9526,0,4.0
S0061,D005,40,Male,2,4,3.9526,4.0,0,3.8929
S0062,D003,39,Male,1,2,3.5588,3.25,0,2.9867
S0062,D003,39,Male,2,3,3.25,2.9867,0,3.0647
S0062,D003,39,Male,2,4,2.9867,3.0647,0,2.928
S0062,D003,39,Male,3,5,3.0647,2.928,0,3.4043
S0062,D003,39,Male,3,6,2.928,3.4043,0,3.1429
S0062,D003,39,Male,4,7,3.4043,3.1429,0,2.72
S0064,D004,41,Male,1,2,1.8,1.5176,6,2.2333
S0064,D004,41,Male,2,3,1.5176,2.2333,10,2.0
S0065,D004,40,Male,1,2,3.3308,3.6765,0,3.44
S0065,D004,40,Male,2,3,3.6765,3.44,0,3.5091
S0065,D004,40,Male,2,4,3.44,3.5091,0,3.3579
S0065,D004,40,Male,3,5,3.5091,3.3579,0,3.381
S0066,D005,39,Male,1,2,3.9176,3.8688,0,4.0
S0066,D005,39,Male,2,3,3.8688,4.0,0,3.725
S0066,D005,39,Male,2,4,4.0,3.725,0,3.8143
S0066,D005,39,Male,3,5,3.725,3.8143,0,4.0
S0066,D005,39,Male,3,6,3.8143,4.0,0,3.7875
S0069,D001,41,Male,1,2,4.0,3.8688,0,3.9625
S0069,D001,41,Male,2,3,3.8688,3.9625,0,3.9647
S0070,D002,40,Male,1,2,3.6824,3.7562,0,3.675
S0070,D002,40,Male,2,3,3.7562,3.675,0,3.1529
S0070,D002,40,Male,2,4,3.675,3.1529,0,3.7
S0071,D001,39,Female,1,2,3.6235,3.7062,0,3.55
S0071,D001,39,Female,2,3,3.7062,3.55,0,3.8824
S0071,D001,39,Female,2,4,3.55,3.8824,0,3.475
S0071,D001,39,Female,3,5,3.8824,3.475,0,3.668
S0071,D001,39,Female,3,6,3.475,3.668,0,3.6625
S0071,D001,39,Female,4,7,3.668,3.6625,0,3.06
S0072,D001,40,Female,1,2,3.3294,3.6938,0,3.5875
S0072,D001,40,Female,2,3,3.6938,3.5875,0,3.5706
S0072,D001,40,Female,2,4,3.5875,3.5706,0,3.6917
S0072,D001,40,Female,3,5,3.5706,3.6917,0,3.728
S0078,D004,40,Male,1,2,3.9769,3.8765,0,3.9
S0078,D004,40,Male,2,3,3.8765,3.9,0,3.8182
S0078,D004,40,Male,2,4,3.9,3.8182,0,3.6947
S0082,D004,40,Male,1,2,3.7462,3.3471,0,3.4
S0082,D004,40,Male,2,3,3.3471,3.4,0,3.3091
S0082,D004,40,Male,2,4,3.4,3.3091,0,3.5526
S0082,D004,40,Male,3,5,3.3091,3.5526,0,3.5143
S0083,D004,39,Male,1,2,3.3231,4.0,0,3.8067
S0083,D004,39,Male,2,3,4.0,3.8067,0,3.8091
S0083,D004,39,Male,2,4,3.8067,3.8091,0,3.5316
S0083,D004,39,Male,3,5,3.8091,3.5316,0,4.0
S0083,D004,39,Male,3,6,3.5316,4.0,0,3.7385
S0083,D004,39,Male,4,7,4.0,3.7385,0,4.0
S0086,D002,41,Male,1,2,2.8588,2.975,0,2.75
S0087,D003,40,Male,1,2,2.7706,3.0056,0,3.6
S0087,D003,40,Male,2,3,3.0056,3.6,0,3.0235
S0087,D003,40,Male,2,4,3.6,3.0235,0,3.26
S0088,D003,41,Male,1,2,3.4118,3.4833,0,3.16
S0088,D003,41,Male,2,3,3.4833,3.16,0,3.5529
S0089,D001,41,Female,1,2,3.9647,3.8125,0,4.0
S0090,D001,39,Female,1,2,3.7588,3.375,0,3.9125
S0090,D001,39,Female,2,3,3.375,3.9125,0,3.9176
S0090,D001,39,Female,2,4,3.9125,3.9176,0,3.8833
S0090,D001,39,Female,3,5,3.9176,3.8833,0,3.712
S0090,D001,39,Female,3,6,3.8833,3.712,0,3.5
S0091,D002,41,Male,1,2,3.3588,3.1125,0,3.0875
S0093,D004,41,Female,1,2,3.4385,2.9882,0,2.7933
S0094,D005,40,Male,1,2,3.7235,3.5125,0,3.7053
S0094,D005,40,Male,2,3,3.5125,3.7053,0,3.4188
S0094,D005,40,Male,2,4,3.7053,3.4188,0,3.7071
S0094,D005,40,Male,3,5,3.4188,3.7071,0,3.7
S0095,D001,40,Male,1,2,2.7294,2.7188,2,2.6125
S0095,D001,40,Male,2,3,2.7188,2.6125,3,2.8118
S0095,D001,40,Male,2,4,2.6125,2.8118,4,2.7083
S0095,D001,40,Male,3,5,2.8118,2.7083,5,2.14
S0096,D001,41,Male,1,2,3.2176,3.25,0,2.875
S0097,D001,39,Male,1,2,3.0294,2.625,0,3.6375
S0097,D001,39,Male,2,3,2.625,3.6375,0,3.1059
S0097,D001,39,Male,2,4,3.6375,3.1059,0,3.3
S0097,D001,39,Male,3,5,3.1059,3.3,0,3.436
S0097,D001,39,Male,3,6,3.3,3.436,0,3.2
S0097,D001,39,Male,4,7,3.436,3.2,0,3.4
S0098,D001,41,Male,1,2,3.4235,2.7688,0,3.0375
S0099,D001,40,Female,1,2,3.7118,3.875,0,3.5375
S0099,D001,40,Female,2,3,3.875,3.5375,0,3.5059
S0099,D001,40,Female,2,4,3.5375,3.5059,0,3.5
S0100,D001,39,Female,1,2,3.7588,3.8375,0,3.5875
S0100,D001,39,Female,2,3,3.8375,3.5875,0,3.9471
