Student_ID,Degree_ID,Intake,Gender,Current_Year,Current_Semester,Previous_SGPA,Current_SGPA,Repeated_Courses,Next_SGPA,Predicted_Next_SGPA_RF,Predicted_Next_SGPA_NN,NN_Error,RF_Error,NN_Absolute_Error,GPA_Range
S0057,D002,40,Female,1,2,3.5588,3.5,0,3.875,3.522596333333329,3.506632,-0.3683679999999998,0.3524036666666705,0.3683679999999998,3.5 - 4.0
S0057,D002,40,Female,2,3,3.5,3.875,0,3.7765,3.6527099999999897,3.680938,-0.09556200000000015,0.1237900000000102,0.09556200000000015,3.5 - 4.0
S0057,D002,40,Female,2,4,3.875,3.7765,0,3.75,3.826686638888881,3.7655861,0.015586100000000158,-0.0766866388888805,0.015586100000000158,3.5 - 4.0
S0066,D005,39,Male,1,2,3.9176,3.8688,0,4.0,3.7771360555555513,3.8077698,-0.19223020000000002,0.2228639444444486,0.19223020000000002,3.5 - 4.0
S0066,D005,39,Male,2,3,3.8688,4.0,0,3.725,3.946945721428569,3.8901036,0.16510360000000013,-0.2219457214285691,0.16510360000000013,3.5 - 4.0
S0066,D005,39,Male,2,4,4.0,3.725,0,3.8143,3.8582223888888993,3.7987626,-0.015537399999999923,-0.0439223888888995,0.015537399999999923,3.5 - 4.0
S0066,D005,39,Male,3,5,3.725,3.8143,0,4.0,3.776063999999987,3.7494323,-0.25056769999999995,0.2239360000000125,0.25056769999999995,3.5 - 4.0
S0066,D005,39,Male,3,6,3.8143,4.0,0,3.7875,3.80703974444444,3.808542,0.021042000000000005,-0.0195397444444394,0.021042000000000005,3.5 - 4.0
S0069,D001,41,Male,1,2,4.0,3.8688,0,3.9625,3.9744593749999946,3.8462493,-0.11625069999999971,-0.0119593749999946,0.11625069999999971,3.5 - 4.0
S0069,D001,41,Male,2,3,3.8688,3.9625,0,3.9647,3.575345289682532,3.8762228,-0.08847720000000026,0.3893547103174679,0.08847720000000026,3.5 - 4.0
S0071,D001,39,Female,1,2,3.6235,3.7062,0,3.55,3.681439366666665,3.6105685,0.060568500000000025,-0.1314393666666653,0.060568500000000025,3.5 - 4.0
S0071,D001,39,Female,2,3,3.7062,3.55,0,3.8824,3.506614666666673,3.642433,-0.23996700000000004,0.3757853333333272,0.23996700000000004,3.5 - 4.0
S0071,D001,39,Female,2,4,3.55,3.8824,0,3.475,3.7522243888888873,3.6550815,0.1800815,-0.2772243888888872,0.1800815,3.0 - 3.49
S0071,D001,39,Female,3,5,3.8824,3.475,0,3.668,3.725228333333335,3.6727338,0.004733799999999899,-0.0572283333333349,0.004733799999999899,3.5 - 4.0
S0071,D001,39,Female,3,6,3.475,3.668,0,3.6625,3.6455953333333353,3.5458972,-0.1166027999999999,0.0169046666666647,0.1166027999999999,3.5 - 4.0
S0071,D001,39,Female,4,7,3.668,3.6625,0,3.06,3.648617666666659,3.6183493,0.5583493000000002,-0.5886176666666589,0.5583493000000002,3.0 - 3.49
S0088,D003,41,Male,1,2,3.4118,3.4833,0,3.16,3.412843766666668,3.4194806,0.25948059999999984,-0.2528437666666674,0.25948059999999984,3.0 - 3.49
S0088,D003,41,Male,2,3,3.4833,3.16,0,3.5529,3.1502966666666614,3.371844,-0.18105600000000033,0.4026033333333387,0.18105600000000033,3.5 - 4.0
S0094,D005,40,Male,1,2,3.7235,3.5125,0,3.7053,3.5549336666666616,3.5995142,-0.1057857999999996,0.1503663333333382,0.1057857999999996,3.5 - 4.0
S0094,D005,40,Male,2,3,3.5125,3.7053,0,3.4188,3.5599033333333416,3.6089828,0.1901828000000001,-0.1411033333333415,0.1901828000000001,3.0 - 3.49
S0094,D005,40,Male,2,4,3.7053,3.4188,0,3.7071,3.5073193333333386,3.534303,-0.1727970000000001,0.1997806666666615,0.1727970000000001,3.5 - 4.0
S0094,D005,40,Male,3,5,3.4188,3.7071,0,3.7,3.508834666666672,3.5875962,-0.11240380000000005,0.1911653333333283,0.11240380000000005,3.5 - 4.0
S0095,D001,40,Male,1,2,2.7294,2.7188,2,2.6125,2.619651666666669,2.696604,0.08410399999999996,-0.0071516666666693,0.08410399999999996,2.5 - 2.99
S0095,D001,40,Male,2,3,2.7188,2.6125,3,2.8118,2.5726623333333367,2.652816,-0.1589839999999998,0.2391376666666631,0.1589839999999998,2.5 - 2.99
S0095,D001,40,Male,2,4,2.6125,2.8118,4,2.7083,2.5409136666666656,2.7366383,0.02833830000000015,0.1673863333333343,0.02833830000000015,2.5 - 2.99
S0095,D001,40,Male,3,5,2.8118,2.7083,5,2.14,2.9016626666666694,2.8560963,0.7160962999999998,-0.7616626666666693,0.7160962999999998,2.0 - 2.49
S0099,D001,40,Female,1,2,3.7118,3.875,0,3.5375,3.794685444444444,3.713335,0.17583499999999974,-0.2571854444444441,0.17583499999999974,3.5 - 4.0
S0099,D001,40,Female,2,3,3.875,3.5375,0,3.5059,3.752361999999992,3.7153785,0.2094784999999999,-0.2464619999999922,0.2094784999999999,3.5 - 4.0
S0099,D001,40,Female,2,4,3.5375,3.5059,0,3.5,3.679721936507929,3.495912,-0.0040879999999998695,-0.1797219365079287,0.0040879999999998695,3.5 - 4.0
