Result_ID,Student_ID,Course_Code,Academic_Year,Semester,Attempt,Marks,Grade,Grade_Point,Result_Status
R000001,S0001,CM11033,1,1,1,89,A+,4.0,Pass
R000002,S0001,CM11102,1,1,1,81,A,4.0,Pass
R000003,S0001,COE11013,1,1,1,67,B+,3.3,Pass
R000004,S0001,CS11012,1,1,1,73,A-,3.7,Pass
R000005,S0001,CS11021,1,1,1,71,A-,3.7,Pass
R000006,S0001,CS11032,1,1,1,68,B+,3.3,Pass
R000007,S0001,CS11042,1,1,1,72,A-,3.7,Pass
R000008,S0001,DL1132,1,1,1,57,B-,2.7,Pass
R000009,S0001,LS1052,1,1,1,82,A,4.0,Pass
R000010,S0001,SE11012,1,1,1,69,B+,3.3,Pass
R000011,S0002,CM11033,1,1,1,73,A-,3.7,Pass
R000012,S0002,CM11102,1,1,1,62,B,3.0,Pass
R000013,S0002,COE11013,1,1,1,52,C+,2.3,Pass
R000014,S0002,CS11012,1,1,1,43,C-,1.7,Pass
R000015,S0002,CS11021,1,1,1,54,C+,2.3,Pass
R000016,S0002,CS11032,1,1,1,47,C,2.0,Pass
R000017,S0002,CS11042,1,1,1,46,C,2.0,Pass
R000018,S0002,DL1132,1,1,1,49,C,2.0,Pass
R000019,S0002,LS1052,1,1,1,78,A,4.0,Pass
R000020,S0002,SE11012,1,1,1,48,C,2.0,Pass
R000021,S0003,CM11033,1,1,1,91,A+,4.0,Pass
R000022,S0003,CM11102,1,1,1,83,A,4.0,Pass
R000023,S0003,COE11013,1,1,1,66,B+,3.3,Pass
R000024,S0003,CS11012,1,1,1,74,A-,3.7,Pass
R000025,S0003,CS11021,1,1,1,64,B,3.0,Pass
R000026,S0003,CS11032,1,1,1,79,A,4.0,Pass
R000027,S0003,CS11042,1,1,1,84,A,4.0,Pass
R000028,S0003,DL1132,1,1,1,65,B+,3.3,Pass
R000029,S0003,LS1052,1,1,1,80,A,4.0,Pass
R000030,S0003,SE11012,1,1,1,87,A+,4.0,Pass
R000031,S0004,CM11033,1,1,1,77,A,4.0,Pass
R000032,S0004,CM11102,1,1,1,63,B,3.0,Pass
R000033,S0004,COE11013,1,1,1,59,B-,2.7,Pass
R000034,S0004,CS11012,1,1,1,49,C,2.0,Pass
R000035,S0004,CS11021,1,1,1,55,B-,2.7,Pass
R000036,S0004,CS11032,1,1,1,32,F,0.0,Fail
R000037,S0004,CS11042,1,1,1,41,C-,1.7,Pass
R000038,S0004,DL1132,1,1,1,46,C,2.0,Pass
R000039,S0004,LS1052,1,1,1,61,B,3.0,Pass
R000040,S0004,SE11012,1,1,1,47,C,2.0,Pass
R000041,S0005,CM11033,1,1,1,53,C+,2.3,Pass
R000042,S0005,CM11102,1,1,1,66,B+,3.3,Pass
R000043,S0005,COE11013,1,1,1,54,C+,2.3,Pass
R000044,S0005,CS11012,1,1,1,49,C,2.0,Pass
R000045,S0005,CS11021,1,1,1,63,B,3.0,Pass
R000046,S0005,CS11032,1,1,1,56,B-,2.7,Pass
R000047,S0005,CS11042,1,1,1,58,B-,2.7,Pass
R000048,S0005,DL1132,1,1,1,55,B-,2.7,Pass
R000049,S0005,LS1052,1,1,1,64,B,3.0,Pass
R000050,S0005,SE11012,1,1,1,62,B,3.0,Pass
R000051,S0006,CM11033,1,1,1,89,A+,4.0,Pass
R000052,S0006,CM11102,1,1,1,81,A,4.0,Pass
R000053,S0006,COE11013,1,1,1,72,A-,3.7,Pass
R000054,S0006,CS11012,1,1,1,80,A,4.0,Pass
R000055,S0006,CS11021,1,1,1,81,A,4.0,Pass
R000056,S0006,CS11032,1,1,1,77,A,4.0,Pass
R000057,S0006,CS11042,1,1,1,79,A,4.0,Pass
R000058,S0006,DL1132,1,1,1,75,A,4.0,Pass
R000059,S0006,LS1052,1,1,1,82,A,4.0,Pass
R000060,S0006,SE11012,1,1,1,87,A+,4.0,Pass
R000061,S0007,CM11033,1,1,1,87,A+,4.0,Pass
R000062,S0007,CM11102,1,1,1,76,A,4.0,Pass
R000063,S0007,COE11013,1,1,1,67,B+,3.3,Pass
R000064,S0007,CS11012,1,1,1,73,A-,3.7,Pass
R000065,S0007,CS11021,1,1,1,80,A,4.0,Pass
R000066,S0007,CS11032,1,1,1,82,A,4.0,Pass
R000067,S0007,CS11042,1,1,1,78,A,4.0,Pass
R000068,S0007,DL1132,1,1,1,69,B+,3.3,Pass
R000069,S0007,LS1052,1,1,1,83,A,4.0,Pass
R000070,S0007,SE11012,1,1,1,62,B,3.0,Pass
R000071,S0008,CM11033,1,1,1,73,A-,3.7,Pass
R000072,S0008,CM11102,1,1,1,58,B-,2.7,Pass
R000073,S0008,COE11013,1,1,1,57,B-,2.7,Pass
R000074,S0008,CS11012,1,1,1,35,D+,1.3,Pass
R000075,S0008,CS11021,1,1,1,28,F,0.0,Fail
R000076,S0008,CS11032,1,1,1,59,B-,2.7,Pass
R000077,S0008,CS11042,1,1,1,56,B-,2.7,Pass
R000078,S0008,DL1132,1,1,1,50,C+,2.3,Pass
R000079,S0008,LS1052,1,1,1,48,C,2.0,Pass
R000080,S0008,SE11012,1,1,1,52,C+,2.3,Pass
R000081,S0009,CM11033,1,1,1,81,A,4.0,Pass
R000082,S0009,CM11102,1,1,1,75,A,4.0,Pass
R000083,S0009,COE11013,1,1,1,77,A,4.0,Pass
R000084,S0009,CS11012,1,1,1,66,B+,3.3,Pass
R000085,S0009,CS11021,1,1,1,73,A-,3.7,Pass
R000086,S0009,CS11032,1,1,1,76,A,4.0,Pass
R000087,S0009,CS11042,1,1,1,67,B+,3.3,Pass
R000088,S0009,DL1132,1,1,1,69,B+,3.3,Pass
R000089,S0009,LS1052,1,1,1,75,A,4.0,Pass
R000090,S0009,SE11012,1,1,1,76,A,4.0,Pass
R000091,S0010,CM11033,1,1,1,77,A,4.0,Pass
R000092,S0010,CM11102,1,1,1,82,A,4.0,Pass
R000093,S0010,COE11013,1,1,1,66,B+,3.3,Pass
R000094,S0010,CS11012,1,1,1,58,B-,2.7,Pass
R000095,S0010,CS11021,1,1,1,71,A-,3.7,Pass
R000096,S0010,CS11032,1,1,1,63,B,3.0,Pass
R000097,S0010,CS11042,1,1,1,61,B,3.0,Pass
R000098,S0010,DL1132,1,1,1,64,B,3.0,Pass
R000099,S0010,LS1052,1,1,1,46,C,2.0,Pass
R000100,S0010,SE11012,1,1,1,48,C,2.0,Pass
R000101,S0011,CM11033,1,1,1,89,A+,4.0,Pass
R000102,S0011,CM11102,1,1,1,81,A,4.0,Pass
R000103,S0011,COE11013,1,1,1,67,B+,3.3,Pass
R000104,S0011,CS11012,1,1,1,73,A-,3.7,Pass
R000105,S0011,CS11021,1,1,1,81,A,4.0,Pass
R000106,S0011,CS11032,1,1,1,82,A,4.0,Pass
